Country,Region,Ladder,Social Support,Freedom,Corruption,Donation,Generosity,Positive Affect,Negative Affect,Happiness (Yesterday),GDP per capita,Healthy life expectancy
Mexico,6,7.088,0.809,0.796,0.669,0.249,-0.094,0.8,0.25,0.819,12520,66.225
Moldova,2,5.791,0.848,0.61,0.95,0.204,-0.028,0.573,0.292,0.526,2791,60.361
Mongolia,5,4.834,0.924,0.673,0.937,0.393,0.14,0.698,0.161,0.753,3756,56.603
Montenegro,1,5.299,0.775,0.52,0.732,0.115,-0.21,0.59,0.389,0.691,10184,62.609
Morocco,8,4.885,0.73,0.675,0.866,0.074,-0.189,0.671,0.239,0.654,4264,60.865
Mozambique,9,4.971,0.818,0.639,0.719,0.102,-0.043,0.592,0.243,0.644,823,38.211
Myanmar,3,4.439,0.612,0.691,0.695,0.856,0.676,0.764,0.205,0.75,1325,54.795
Nepal,4,4.156,0.747,0.58,0.907,0.236,0.076,0.711,0.224,0.739,1087,52.79
Netherlands,0,7.512,0.945,0.908,0.378,0.728,0.312,0.859,0.205,0.844,36854,72.338
New Zealand,7,7.221,0.951,0.918,0.273,0.658,0.271,0.86,0.216,0.91,24478,71.115
Nicaragua,6,5.507,0.853,0.807,0.738,0.239,-0.004,0.8,0.277,0.772,3270,62.47
Niger,9,4.152,0.724,0.777,0.614,0.077,-0.05,0.683,0.145,0.707,639,36.664
Nigeria,9,5.248,0.812,0.66,0.907,0.264,0.05,0.797,0.194,0.829,2160,42.953
North Cyprus,0,5.463,0.871,0.693,0.871,0.436,0.045,0.709,0.405,0.79,25909,68.041
Norway,0,7.655,0.942,0.947,0.421,0.498,0.063,0.823,0.213,0.749,48071,72.492
Oman,8,6.853,0.852,0.916,0.451,0.394,0.007,0.295,0.893,24559,61.685,
Pakistan,4,5.292,0.542,0.368,0.854,0.385,0.163,0.655,0.345,0.682,2405,53.735
Palestine,8,4.7,0.778,0.523,0.747,0.103,-0.103,0.599,0.383,0.6,1924,61.203
Panama,6,7.143,0.9,0.789,0.842,0.345,0.005,0.88,0.177,0.898,12779,66.552
Paraguay,6,5.779,0.896,0.714,0.774,0.445,0.178,0.834,0.193,0.755,4535,62.655
Peru,6,5.776,0.777,0.744,0.861,0.202,-0.109,0.779,0.353,0.776,8514,61.715
Philippines,3,4.985,0.805,0.901,0.788,0.304,0.054,0.864,0.339,0.913,3550,60.298
Poland,1,5.822,0.937,0.818,0.904,0.327,-0.034,0.747,0.24,0.64,17178,66.591
Portugal,0,5.101,0.862,0.772,0.954,0.247,-0.131,0.734,0.295,0.779,21471,70.877
Qatar,8,6.666,0.845,0.918,0.14,0.56,0.096,0.763,0.324,0.833,72892,66.013
Romania,1,5.033,0.727,0.62,0.966,0.226,-0.103,0.565,0.327,0.47,10864,64.386
Russia,2,5.464,0.901,0.615,0.941,0.06,-0.288,0.599,0.171,0.484,14103,59.729
Rwanda,9,3.715,0.603,0.832,0.115,0.131,-0.035,0.684,0.143,0.708,1105,39.229
Saudi Arabia,8,6.48,0.852,0.624,0.451,0.301,-0.074,0.702,0.251,0.689,20546,62.183
Senegal,9,3.959,0.691,0.695,0.857,0.102,-0.096,0.764,0.179,0.775,1730,48.976
Serbia,1,4.813,0.773,0.455,0.964,0.152,-0.169,0.531,0.399,0.614,9634,62.551
Sierra Leone,9,4.318,0.797,0.748,0.884,0.156,0,0.48,0.295,0.518,949,29.616
Singapore,3,6.546,0.884,0.834,0.075,0.35,-0.086,0.542,0.138,0.572,49219,71.11
Slovakia,1,5.969,0.921,0.663,0.908,0.316,-0.057,0.653,0.289,0.589,20130,67.308
Slovenia,1,6.06,0.924,0.902,0.874,0.366,-0.022,0.66,0.288,0.733,24943,70.585
Somaliland,9,4.847,0.798,0.823,0.398,0.443,0.285,0.75,0.12,0.794,979,43.343
South Africa,9,4.963,0.897,0.689,0.821,0.132,-0.188,0.77,0.178,0.741,9552,45.275
South Korea,5,6.267,0.8,0.659,0.819,0.334,-0.057,0.661,0.178,0.608,26789,69.235
Spain,0,6.322,0.942,0.781,0.842,0.272,-0.11,0.74,0.353,0.804,26972,73.647
Sri Lanka,4,4.151,0.826,0.79,0.793,0.474,0.199,0.844,0.183,0.848,4689,61.951
Sudan,9,4.401,0.818,0.57,0.727,0.173,-0.036,0.604,0.241,0.606,1999,49.413
Suriname,6,6.269,0.797,0.885,0.751,0.25,-0.051,0.764,0.25,0.656,7378,61.977
Swaziland,9,4.867,0.837,0.607,0.92,0.2,-0.079,0.821,0.251,0.815,5338,40.925
Sweden,0,7.48,0.94,0.93,0.226,0.544,0.134,0.834,0.183,0.791,33869,74.213
Switzerland,0,7.65,0.943,0.918,0.319,0.55,0.129,0.859,0.176,0.907,39476,73.561
Syria,8,3.892,0.655,0.55,0.731,0.364,0.051,0.545,0.501,0.51,4714,61.94
Taiwan,5,6.221,0.84,0.712,0.803,0.413,0.009,0.831,0.129,0.815,30463,66.579
Tajikistan,2,4.38,0.746,0.769,0.685,0.139,-0.067,0.686,0.185,0.751,1945,55.42
Tanzania,9,3.77,0.842,0.637,0.857,0.276,0.098,0.72,0.162,0.708,1291,48.695
Thailand,3,6.371,0.899,0.87,0.918,0.738,0.435,0.886,0.143,0.936,7526,60.477
Togo,9,2.936,0.303,0.584,0.84,0.069,-0.084,0.48,0.395,0.362,902,46.133
Trinidad and Tobago,6,6.519,0.863,0.775,0.904,0.438,0.055,0.906,0.134,0.907,23172,62.805
Tunisia,8,4.826,0.705,0.598,0.846,0.116,-0.194,0.59,0.28,0.571,8351,62.922
Turkey,8,5.345,0.741,0.475,0.71,0.126,-0.214,0.64,0.344,0.707,12789,62.912
Turkmenistan,2,5.628,0.955,0.786,0.597,0.235,-0.071,0.612,0.12,0.596,7831,54.837
Uganda,9,4.443,0.866,0.728,0.843,0.201,0.032,0.693,0.257,0.71,1152,44.821
Ukraine,2,5.057,0.88,0.542,0.934,0.087,-0.2,0.558,0.213,0.47,6052,61.601
United Arab Emirates,8,7.144,0.878,0.895,0.355,0.472,0.044,0.765,0.223,0.764,43295,64.545
United Kingdom,0,6.883,0.947,0.887,0.448,0.744,0.339,0.845,0.18,0.873,32797,71.645
United States,7,7.082,0.917,0.834,0.698,0.621,0.191,0.844,0.254,0.877,42068,69.689
Uruguay,6,6.355,0.883,0.852,0.537,0.273,-0.066,0.8,0.232,0.75,12538,66.434
Uzbekistan,2,5.623,0.92,0.924,0.597,0.226,-0.005,0.783,0.131,0.786,2756,60.176
Venezuela,6,7.039,0.931,0.78,0.755,0.136,-0.196,0.849,0.168,0.808,11182,65.104
Vietnam,3,5.533,0.809,0.841,0.766,0.211,-0.024,0.613,0.213,0.637,2905,62.188
Yemen,8,4.054,0.683,0.668,0.836,0.08,-0.142,0.518,0.281,0.551,2235,50.78
Zambia,9,5.006,0.822,0.726,0.846,0.211,0.027,0.78,0.227,0.792,1416,37.099
Zimbabwe,9,4.827,0.873,0.59,0.842,0.094,0.018,0.733,0.17,0.728,309,37.14
